name,numberrange,numberrange1,normaldist,normaldist1,pin,numberrange1_copy,bool
Thomas Roach,69,39,0.1211924809,-0.5090840842,8301,69,no
Basil Todd,90,57,-0.0510627755,0.5324293266,3391,90,no
Quinlan Vasquez,40,8,0.0739689831,0.2406483067,1813,40,no
Lewis Andrews,77,87,-0.2267722507,0.1755008112,9703,77,no
Rudyard Finley,43,87,-0.2926877672,-0.0763127595,5359,43,no
Jordan Hendricks,14,28,0.1304932002,-0.4014435000,4966,14,no
Stuart Flowers,9,12,0.0649576335,-0.3438316295,9180,9,no
Rowan Barnes,41,10,0.3836486231,0.2429806822,7565,41,no
Caryn Beard,84,18,0.1323472709,-0.6690021245,4206,84,no
Erich Vincent,67,58,0.1484694011,-0.2059512467,6411,67,no
Blossom Berg,44,69,-0.2650495472,0.2134810515,6750,44,no
Arden Hill,50,19,-0.2137901383,0.3616546580,6289,50,no
Malachi Chang,81,25,-0.2347746781,-0.1504449521,6945,81,no
Eleanor Carver,11,42,-0.1846750288,0.0767674725,4185,11,no
Glenna Sharp,100,89,-0.1537191780,0.2777359936,1957,100,no
Oliver Velazquez,54,71,0.2020002234,-0.5277491449,8341,54,no
Duncan Davis,33,64,0.2475506667,0.0095057192,3195,33,no
Joan Alvarado,56,72,-0.1698801640,-0.1271447292,7406,56,no
Neil Owen,15,12,-0.0395014627,-0.0330976506,9677,15,no
Freya Mcknight,42,94,0.3709765066,-0.1313249978,8322,42,no
Jessamine Nelson,94,28,0.2451646706,0.3823770767,2154,94,no
Gabriel Murphy,70,75,-0.2654384903,-0.2130562238,6523,70,no
Deanna Mayer,24,41,-0.1833148418,-0.1001402005,8151,24,no
Benedict Mckay,55,60,0.1087324560,0.0599625532,1895,55,no
Joan Bean,64,29,0.1723035123,0.1344241788,4614,64,no
Dahlia Pittman,6,64,-0.0242683732,-0.1873899747,4928,6,no
Austin Mcbride,58,2,-0.2395860386,0.5351716975,3013,58,no
Mufutau Morrison,35,67,-0.0289751830,-0.3696124575,7293,35,no
Cassandra Macdonald,20,35,-0.1913538445,-0.0243989103,4031,20,no
Moana Lloyd,30,9,0.3412980146,-0.3819229600,1352,30,no
Kieran Barber,48,2,-0.0737843852,-0.0662487701,9064,48,no
Wynter Holden,51,34,-0.2519505478,0.2230950804,4447,51,no
Lester Aguirre,92,94,0.0386213319,-0.0789327099,6399,92,no
Inez Ayers,38,49,-0.1497113098,-0.5472796758,1950,38,no
Whitney Moreno,17,73,-0.0584415342,0.0667146280,6263,17,no
Kirsten Mcgowan,74,99,0.0915561927,0.0048560893,7781,74,no
Sage Ruiz,44,21,0.2617592463,-0.3953078424,1509,44,no
Elliott Morin,73,99,-0.3076189907,0.3970393823,7618,73,no
Eve Saunders,52,11,-0.3437176565,0.0653141482,7337,52,no
Quon Hinton,84,57,0.5055946941,-0.0762995928,3075,84,no
Brent Cabrera,79,13,-0.1132965796,-0.2754537682,2574,79,no
Shelby Scott,56,50,0.0457543601,0.1150478262,9012,56,no
Stacey Sexton,24,95,-0.2124852672,0.1654315861,4792,24,no
Sydnee Gardner,7,33,-0.2864772589,-0.0089534295,6420,7,no
Elmo Warner,32,76,-0.3453242042,0.4172295931,4664,32,no
Iola Ramsey,20,15,0.1176387470,-0.3060580742,7673,20,no
